"Gene > Primary DBID","Gene > Systematic Name","Gene > Organism . Short Name","Gene > Standard Name","Gene > Name"
"S000002166","YDL008W","S. cerevisiae","APC11","Anaphase Promoting Complex"
"S000002171","YDL013W","S. cerevisiae","SLX5","Synthetic Lethal of unknown [X] function"
"S000002172","YDL014W","S. cerevisiae","NOP1","NucleOlar Protein"
"S000002173","YDL015C","S. cerevisiae","TSC13","Temperature-sensitive Suppressors of Csg2 mutants"
"S000002174","YDL016C","S. cerevisiae","",""
"S000002175","YDL017W","S. cerevisiae","CDC7","Cell Division Cycle"
"S000002186","YDL028C","S. cerevisiae","MPS1","MonoPolar Spindle"
"S000002187","YDL029W","S. cerevisiae","ARP2","Actin-Related Protein"
"S000002188","YDL030W","S. cerevisiae","PRP9","Pre-mRNA Processing"
"S000002189","YDL031W","S. cerevisiae","DBP10","Dead Box Protein"
"S000002201","YDL043C","S. cerevisiae","PRP11","Pre-mRNA Processing"
"S000002203","YDL045C","S. cerevisiae","FAD1","FAD synthetase"
"S000002213","YDL055C","S. cerevisiae","PSA1",""
"S000002216","YDL058W","S. cerevisiae","USO1","yUSOu - transport in Japanese"
"S000002218","YDL060W","S. cerevisiae","TSR1","Twenty S rRNA accumulation"
"S000002222","YDL064W","S. cerevisiae","UBC9","UBiquitin-Conjugating"
"S000002225","YDL067C","S. cerevisiae","COX9","Cytochrome c OXidase"
"S000002242","YDL084W","S. cerevisiae","SUB2","SUppressor of Brr1-1"
"S000002245","YDL087C","S. cerevisiae","LUC7","Lethal Unless Cap-binding complex is produced"
"S000002247","YDL089W","S. cerevisiae","NUR1","NUclear Rim1"
"S000002250","YDL092W","S. cerevisiae","SRP14","Signal Recognition Particle"
"S000002255","YDL097C","S. cerevisiae","RPN6","Regulatory Particle Non-ATPase"
"S000002256","YDL098C","S. cerevisiae","SNU23","Small NUclear ribonucleoprotein associated"
"S000002260","YDL102W","S. cerevisiae","POL3","POLymerase"
"S000002261","YDL103C","S. cerevisiae","QRI1",""
"S000002263","YDL105W","S. cerevisiae","NSE4","Non-SMC Element"
"S000002266","YDL108W","S. cerevisiae","KIN28","protein KINase"
"S000002269","YDL111C","S. cerevisiae","RRP42","Ribosomal RNA Processing"
"S000002278","YDL120W","S. cerevisiae","YFH1","Yeast Frataxin Homolog"
"S000002284","YDL126C","S. cerevisiae","CDC48","Cell Division Cycle"
"S000002290","YDL132W","S. cerevisiae","CDC53","Cell Division Cycle"
"S000002298","YDL139C","S. cerevisiae","SCM3","Suppressor of Chromosome Missegregation"
"S000002299","YDL140C","S. cerevisiae","RPO21","RNA POlymerase"
"S000002300","YDL141W","S. cerevisiae","BPL1","Biotin:apoProtein Ligase"
"S000002302","YDL143W","S. cerevisiae","CCT4","Chaperonin Containing TCP-1"
"S000002304","YDL145C","S. cerevisiae","COP1","COat Protein"
"S000002306","YDL147W","S. cerevisiae","RPN5","Regulatory Particle Non-ATPase"
"S000002307","YDL148C","S. cerevisiae","NOP14","NucleOlar Protein"
"S000002309","YDL150W","S. cerevisiae","RPC53","RNA Polymerase C"
"S000002311","YDL152W","S. cerevisiae","",""
"S000002312","YDL153C","S. cerevisiae","SAS10","Something About Silencing"
"S000002314","YDL155W","S. cerevisiae","CLB3","CycLin B"
"S000002322","YDL163W","S. cerevisiae","",""
"S000002323","YDL164C","S. cerevisiae","CDC9","Cell Division Cycle"
"S000002324","YDL165W","S. cerevisiae","CDC36","Cell Division Cycle"
"S000002325","YDL166C","S. cerevisiae","FAP7","Factor Activating Pos9"
"S000002352","YDL193W","S. cerevisiae","NUS1","Nuclear Undecaprenyl pyrophosphate Synthase"
"S000002354","YDL195W","S. cerevisiae","SEC31","SECretory"
"S000002355","YDL196W","S. cerevisiae","",""
"S000002364","YDL205C","S. cerevisiae","HEM3","HEMe biosynthesis"
"S000002366","YDL207W","S. cerevisiae","GLE1","GLFG (glycine-leucine-phenylalanine-glycine) LEthal"
"S000002367","YDL208W","S. cerevisiae","NHP2","Non-Histone Protein"
"S000002368","YDL209C","S. cerevisiae","CWC2","Complexed With Cef1p"
"S000002371","YDL212W","S. cerevisiae","SHR3","Super high Histidine Resistant"
"S000002376","YDL217C","S. cerevisiae","TIM22","Translocase of the Inner Mitochondrial membrane"
"S000002379","YDL220C","S. cerevisiae","CDC13","Cell Division Cycle"
"S000002380","YDL221W","S. cerevisiae","",""
"S000002391","YDL232W","S. cerevisiae","OST4","OligoSaccharylTransferase"
"S000002394","YDL235C","S. cerevisiae","YPD1","tYrosine Phosphatase Dependent"
"S000002409","YDR002W","S. cerevisiae","YRB1","Yeast Ran Binder"
"S000002420","YDR013W","S. cerevisiae","PSF1","Partner of Sld Five"
"S000002423","YDR016C","S. cerevisiae","DAD1","Duo1 And Dam1 interacting"
"S000002428","YDR021W","S. cerevisiae","FAL1","eukaryotic translation initiation factor Four A Like"
"S000002430","YDR023W","S. cerevisiae","SES1","SEryl-tRNA Synthetase"
"S000002444","YDR037W","S. cerevisiae","KRS1","Lysyl (K) tRNA Synthetase"
"S000002448","YDR041W","S. cerevisiae","RSM10","Ribosomal Small subunit of Mitochondria"
"S000002451","YDR044W","S. cerevisiae","HEM13","HEMe biosynthesis"
"S000002452","YDR045C","S. cerevisiae","RPC11","RNA Polymerase C"
"S000002454","YDR047W","S. cerevisiae","HEM12","HEMe biosynthesis"
"S000002457","YDR050C","S. cerevisiae","TPI1","Triose-Phosphate Isomerase"
"S000002459","YDR052C","S. cerevisiae","DBF4","DumbBell Former"
"S000002460","YDR053W","S. cerevisiae","",""
"S000002461","YDR054C","S. cerevisiae","CDC34","Cell Division Cycle"
"S000002467","YDR060W","S. cerevisiae","MAK21","MAintenance of Killer"
"S000002469","YDR062W","S. cerevisiae","LCB2","Long-Chain Base"
"S000002471","YDR064W","S. cerevisiae","RPS13","Ribosomal Protein of the Small subunit"
"S000002488","YDR081C","S. cerevisiae","PDC2","Pyruvate DeCarboxylase"
"S000002489","YDR082W","S. cerevisiae","STN1","Suppressor of cdc ThirteeN"
"S000002493","YDR086C","S. cerevisiae","SSS1","Sec Sixty-one Suppressor"
"S000002494","YDR087C","S. cerevisiae","RRP1","Ribosomal RNA Processing"
"S000002495","YDR088C","S. cerevisiae","SLU7","Synergistic Lethal with U5 snRNA"
"S000002498","YDR091C","S. cerevisiae","RLI1","RNase L Inhibitor"
"S000002520","YDR113C","S. cerevisiae","PDS1","Precocious Dissociation of Sisters"
"S000002525","YDR118W","S. cerevisiae","APC4","Anaphase Promoting Complex"
"S000002530","YDR123C","S. cerevisiae","INO2","INOsitol requiring"
"S000002537","YDR130C","S. cerevisiae","FIN1","Filaments In between Nuclei"
"S000002548","YDR141C","S. cerevisiae","DOP1","homolog of A. nidulans DOPey"
"S000002552","YDR145W","S. cerevisiae","TAF12","TATA binding protein-Associated Factor"
"S000002558","YDR151C","S. cerevisiae","CTH1","Cysteine-Three-Histidine"
"S000002567","YDR160W","S. cerevisiae","SSY1","Sulfonylurea Sensitive on YPD"
"S000002571","YDR164C","S. cerevisiae","SEC1","SECretory"
"S000002573","YDR166C","S. cerevisiae","SEC5","SECretory"
"S000002574","YDR167W","S. cerevisiae","TAF10","TATA binding protein-Associated Factor"
"S000002575","YDR168W","S. cerevisiae","CDC37","Cell Division Cycle"
"S000002577","YDR170C","S. cerevisiae","SEC7","SECretory"
"S000002579","YDR172W","S. cerevisiae","SUP35","SUPpressor"
"S000002584","YDR177W","S. cerevisiae","UBC1","UBiquitin-Conjugating"
"S000002588","YDR180W","S. cerevisiae","SCC2","Sister Chromatid Cohesion"
"S000002590","YDR182W","S. cerevisiae","CDC1","Cell Division Cycle"
"S000002595","YDR187C","S. cerevisiae","",""
"S000002596","YDR188W","S. cerevisiae","CCT6","Chaperonin Containing TCP-1"
"S000002597","YDR189W","S. cerevisiae","SLY1","Suppressor of Loss of Ypt1"
"S000002598","YDR190C","S. cerevisiae","RVB1","RuVB-like"
"S000002604","YDR196C","S. cerevisiae","CAB5",""
"S000002609","YDR201W","S. cerevisiae","SPC19","Spindle Pole Component"
"S000002616","YDR208W","S. cerevisiae","MSS4","Multicopy Suppressor of Stt4 mutation"
"S000002619","YDR211W","S. cerevisiae","GCD6","General Control Derepressed"
"S000002620","YDR212W","S. cerevisiae","TCP1","Tailless Complex Polypeptide"
"S000002632","YDR224C","S. cerevisiae","HTB1","Histone h Two B"
"S000002634","YDR226W","S. cerevisiae","ADK1","ADenylate Kinase"
"S000002636","YDR228C","S. cerevisiae","PCF11","Protein 1 of Cleavage and polyadenylation Factor I"
"S000002639","YDR231C","S. cerevisiae","COX20","Cytochrome c OXidase"
"S000002640","YDR232W","S. cerevisiae","HEM1","HEMe biosynthesis"
"S000002641","YDR233C","S. cerevisiae","RTN1","ReTiculoN-like"
"S000002643","YDR235W","S. cerevisiae","PRP42","Pre-mRNA Processing"
"S000002644","YDR236C","S. cerevisiae","FMN1","FMN biosynthesis"
"S000002646","YDR238C","S. cerevisiae","SEC26","SECretory"
"S000002648","YDR240C","S. cerevisiae","SNU56","Small NUclear ribonucleoprotein associated"
"S000002649","YDR241W","S. cerevisiae","BUD26","BUD site selection"
"S000002651","YDR243C","S. cerevisiae","PRP28","Pre-mRNA Processing"
"S000002654","YDR246W","S. cerevisiae","TRS23","TRapp Subunit"
"S000002675","YDR267C","S. cerevisiae","CIA1","Cytosolic Iron-sulfur protein Assembly"
"S000002688","YDR280W","S. cerevisiae","RRP45","Ribosomal RNA Processing"
"S000002696","YDR288W","S. cerevisiae","NSE3","Non SMC Element"
"S000002700","YDR292C","S. cerevisiae","SRP101","Signal Recognition Particle"
"S000002701","YDR293C","S. cerevisiae","SSD1","Suppressor of SIT4 Deletion"
"S000002707","YDR299W","S. cerevisiae","BFR2","BreFeldin A Resistance"
"S000002709","YDR301W","S. cerevisiae","CFT1","Cleavage Factor Two"
"S000002710","YDR302W","S. cerevisiae","GPI11","GlycosylPhosphatidylInositol anchor biosynthesis"
"S000002711","YDR303C","S. cerevisiae","RSC3","Remodel the Structure of Chromatin"
"S000002716","YDR308C","S. cerevisiae","SRB7","Suppressor of RNA polymerase B"
"S000002719","YDR311W","S. cerevisiae","TFB1","Transcription Factor B"
"S000002731","YDR323C","S. cerevisiae","PEP7","carboxyPEPtidase Y-deficient"
"S000002732","YDR324C","S. cerevisiae","UTP4","U Three Protein"
"S000002733","YDR325W","S. cerevisiae","YCG1","Yeast Cap G"
"S000002735","YDR327W","S. cerevisiae","",""
"S000002736","YDR328C","S. cerevisiae","SKP1","Suppressor of Kinetochore Protein mutant"
"S000002739","YDR331W","S. cerevisiae","GPI8","GlycosylPhosphatidylInositol anchor biosynthesis"
"S000002747","YDR339C","S. cerevisiae","FCF1","Faf1p Copurifying Factor"
"S000002749","YDR341C","S. cerevisiae","",""
"S000002761","YDR353W","S. cerevisiae","TRR1","ThioRedoxin Reductase"
"S000002763","YDR355C","S. cerevisiae","",""
"S000002764","YDR356W","S. cerevisiae","SPC110","Spindle Pole Component"
"S000002769","YDR361C","S. cerevisiae","BCP1",""
"S000002770","YDR362C","S. cerevisiae","TFC6","Transcription Factor C"
"S000002772","YDR364C","S. cerevisiae","CDC40","Cell Division Cycle"
"S000002773","YDR365C","S. cerevisiae","ESF1","Eighteen S rRNA Factor"
"S000002775","YDR367W","S. cerevisiae","KEI1","Kex2-cleavable protein Essential for Inositol phosphorylceramide synthesis"
"S000002781","YDR373W","S. cerevisiae","FRQ1","FReQuenin homolog"
"S000002784","YDR376W","S. cerevisiae","ARH1","Adrenodoxin Reductase Homolog"
"S000002786","YDR378C","S. cerevisiae","LSM6","Like SM"
"S000002789","YDR381W","S. cerevisiae","YRA1","Yeast RNA Annealing protein"
"S000002797","YDR389W","S. cerevisiae","SAC7","Suppressor of ACtin"
"S000002798","YDR390C","S. cerevisiae","UBA2","UBiquitin Activating"
"S000002802","YDR394W","S. cerevisiae","RPT3","Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"
"S000002803","YDR395W","S. cerevisiae","SXM1","Suppressor of mRNA eXport Mutant"
"S000002804","YDR396W","S. cerevisiae","",""
"S000002805","YDR397C","S. cerevisiae","NCB2","Negative Cofactor B"
"S000002806","YDR398W","S. cerevisiae","UTP5","U Three Protein"
"S000002812","YDR404C","S. cerevisiae","RPB7","RNA Polymerase B"
"S000002815","YDR407C","S. cerevisiae","TRS120","TRapp Subunit"
"S000002820","YDR412W","S. cerevisiae","RRP17","Ribosomal RNA Processing"
"S000002821","YDR413C","S. cerevisiae","",""
"S000002824","YDR416W","S. cerevisiae","SYF1","SYnthetic lethal with cdcForty"
"S000002828","YDR420W","S. cerevisiae","HKR1","Hansenula mrakii Killer toxin Resistant"
"S000002835","YDR427W","S. cerevisiae","RPN9","Regulatory Particle Non-ATPase"
"S000002837","YDR429C","S. cerevisiae","TIF35","Translation Initiation Factor"
"S000002840","YDR432W","S. cerevisiae","NPL3","Nuclear Protein Localization"
"S000002842","YDR434W","S. cerevisiae","GPI17","GlycosylPhosphatidylInositol anchor biosynthesis"
"S000002845","YDR437W","S. cerevisiae","GPI19","Glycosyl PhosphatidylInositol anchor biosynthesis"
"S000002857","YDR449C","S. cerevisiae","UTP6","U Three Protein"
"S000002862","YDR454C","S. cerevisiae","GUK1","GUanylate Kinase"
"S000002868","YDR460W","S. cerevisiae","TFB3","Transcription Factor B subunit 3"
"S000002872","YDR464W","S. cerevisiae","SPP41","Suppressor of PrP4"
"S000002876","YDR468C","S. cerevisiae","TLG1","T-snare affecting a Late Golgi compartment"
"S000002878","YDR470C","S. cerevisiae","UGO1","UGO (Japanese for fusion)"
"S000002880","YDR472W","S. cerevisiae","TRS31","TRapp Subunit"
"S000002881","YDR473C","S. cerevisiae","PRP3","Pre-mRNA Processing"
"S000002886","YDR478W","S. cerevisiae","SNM1","Suppressor of Nuclear Mitochondrial endoribonuclease"
"S000002895","YDR487C","S. cerevisiae","RIB3","RIBoflavin biosynthesis"
"S000002897","YDR489W","S. cerevisiae","SLD5","Synthetic Lethality with Dpb11-1"
"S000002906","YDR498C","S. cerevisiae","SEC20","SECretory"
"S000002907","YDR499W","S. cerevisiae","LCD1","Lethal, Checkpoint-defective, DNA damage sensitive"
"S000002913","YDR505C","S. cerevisiae","PSP1","Polymerase SuPpressor"
"S000002918","YDR510W","S. cerevisiae","SMT3","Suppressor of Mif Two"
"S000002934","YDR526C","S. cerevisiae","",""
"S000002935","YDR527W","S. cerevisiae","RBA50","RNA polymerase II (B) Associated protein"
"S000002939","YDR531W","S. cerevisiae","CAB1","Coenzyme A Biosynthesis"
"S000002940","YDR532C","S. cerevisiae","KRE28",""
"S000002965","YFL017W-A","S. cerevisiae","SMX2",""
"S000002969","YGL001C","S. cerevisiae","ERG26","ERGosterol biosynthesis"
"S000002971","YGL003C","S. cerevisiae","CDH1","CDC20 Homolog"
"S000002976","YGL008C","S. cerevisiae","PMA1","Plasma Membrane ATPase"
"S000002979","YGL011C","S. cerevisiae","SCL1","Suppressor of Crl3 ts Lethality"
"S000002982","YGL014W","S. cerevisiae","PUF4","PUmilio-homology domain Family"
"S000002986","YGL018C","S. cerevisiae","JAC1","J-type Accessory Chaperone"
"S000002990","YGL022W","S. cerevisiae","STT3","STaurosporine and Temperature sensitive"
"S000002997","YGL029W","S. cerevisiae","CGR1","Coiled-coil Growth-Regulated"
"S000002998","YGL030W","S. cerevisiae","RPL30","Ribosomal Protein of the Large subunit"
"S000003008","YGL040C","S. cerevisiae","HEM2","HEMe biosynthesis"
"S000003012","YGL044C","S. cerevisiae","RNA15","poly(A) mRNA metabolism"
"S000003015","YGL047W","S. cerevisiae","ALG13","Asparagine-Linked Glycosylation"
"S000003016","YGL048C","S. cerevisiae","RPT6","Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"
"S000003023","YGL055W","S. cerevisiae","OLE1","OLEic acid requiring"
"S000003029","YGL061C","S. cerevisiae","DUO1","Death Upon Overproduction"
"S000003033","YGL065C","S. cerevisiae","ALG2","Asparagine-Linked Glycosylation"
"S000003036","YGL068W","S. cerevisiae","MNP1","Mitochondrial-Nucleoid Protein"
"S000003037","YGL069C","S. cerevisiae","",""
"S000003041","YGL073W","S. cerevisiae","HSF1","Heat Shock transcription Factor"
"S000003042","YGL074C","S. cerevisiae","",""
"S000003043","YGL075C","S. cerevisiae","MPS2","MonoPolar Spindle"
"S000003052","YGL084C","S. cerevisiae","GUP1","Glycerol UPtake"
"S000003059","YGL091C","S. cerevisiae","NBP35","Nucleotide Binding Protein"
"S000003060","YGL092W","S. cerevisiae","NUP145","NUclear Pore"
"S000003061","YGL093W","S. cerevisiae","SPC105","Spindle Pole Component"
"S000003065","YGL097W","S. cerevisiae","SRM1","Suppressor of Receptor Mutations"
"S000003066","YGL098W","S. cerevisiae","USE1","Unconventional SNARE in the ER"
"S000003067","YGL099W","S. cerevisiae","LSG1","Large-Subunit Gtpase"
"S000003070","YGL102C","S. cerevisiae","",""
"S000003071","YGL103W","S. cerevisiae","RPL28","Ribosomal Protein of the Large subunit"
"S000003074","YGL106W","S. cerevisiae","MLC1","Myosin Light Chain"
"S000003079","YGL111W","S. cerevisiae","NSA1","Nop Seven Associated"
"S000003080","YGL112C","S. cerevisiae","TAF6","TATA binding protein-Associated Factor"
"S000003081","YGL113W","S. cerevisiae","SLD3","Synthetically Lethal with Dpb11-1"
"S000003084","YGL116W","S. cerevisiae","CDC20","Cell Division Cycle"
"S000003088","YGL120C","S. cerevisiae","PRP43","Pre-mRNA Processing"
"S000003090","YGL122C","S. cerevisiae","NAB2","Nuclear polyAdenylated RNA-Binding"
"S000003091","YGL123W","S. cerevisiae","RPS2","Ribosomal Protein of the Small subunit"
"S000003096","YGL128C","S. cerevisiae","CWC23","Complexed With Cef1p"
"S000003098","YGL130W","S. cerevisiae","CEG1","Capping Enzyme Guanylyltransferase"
"S000003105","YGL137W","S. cerevisiae","SEC27","SECretory"
"S000003110","YGL142C","S. cerevisiae","GPI10","GlycosylPhosphatidylInositol anchor biosynthesis"
"S000003113","YGL145W","S. cerevisiae","TIP20","SEC20 (Twenty) Interacting Protein"
"S000003118","YGL150C","S. cerevisiae","INO80","INOsitol requiring"
"S000003123","YGL155W","S. cerevisiae","CDC43","Cell Division Cycle"
"S000003134","YGL166W","S. cerevisiae","CUP2",""
"S000003137","YGL169W","S. cerevisiae","SUA5","Suppressor of Upstream AUG"
"S000003139","YGL171W","S. cerevisiae","ROK1","Rescuer Of Kem1"
"S000003140","YGL172W","S. cerevisiae","NUP49","NUclear Pore"
"S000003148","YGL180W","S. cerevisiae","ATG1","AuTophaGy related"
"S000003157","YGL189C","S. cerevisiae","RPS26A","Ribosomal Protein of the Small subunit"
"S000003169","YGL201C","S. cerevisiae","MCM6","MiniChromosome Maintenance"
"S000003174","YGL206C","S. cerevisiae","CHC1","Clathrin Heavy Chain"
"S000003175","YGL207W","S. cerevisiae","SPT16","SuPpressor of Ty"
"S000003181","YGL213C","S. cerevisiae","SKI8","SuperKIller"
"S000003193","YGL225W","S. cerevisiae","VRG4","Vandate Resistance Glycosylation"
"S000003202","YGL233W","S. cerevisiae","SEC15","SECretory"
"S000003205","YGL236C","S. cerevisiae","MTO1","Mitochondrial Translation Optimization"
"S000003207","YGL238W","S. cerevisiae","CSE1","Chromosome SEgregation"
"S000003208","YGL239C","S. cerevisiae","",""
"S000003214","YGL245W","S. cerevisiae","GUS1","GlUtamyl-tRNA Synthetase"
"S000003216","YGL247W","S. cerevisiae","BRR6","Bad Response to Refrigeration"
"S000003234","YGR002C","S. cerevisiae","SWC4","SWr Complex"
"S000003237","YGR005C","S. cerevisiae","TFG2","Transcription Factor G"
"S000003241","YGR009C","S. cerevisiae","SEC9","SECretory"
"S000003245","YGR013W","S. cerevisiae","SNU71","Small NUclear ribonucleoprotein associated"
"S000003256","YGR024C","S. cerevisiae","THG1","tRNAHis Guanylyltransferase"
"S000003261","YGR029W","S. cerevisiae","ERV1","Essential for Respiration and Viability"
"S000003262","YGR030C","S. cerevisiae","POP6","Processing Of Precursor RNAs"
"S000003278","YGR046W","S. cerevisiae","TAM41","Translocator Assembly and Maintenance"
"S000003279","YGR047C","S. cerevisiae","TFC4","Transcription Factor class C"
"S000003280","YGR048W","S. cerevisiae","UFD1","Ubiquitin Fusion Degradation protein"
"S000003292","YGR060W","S. cerevisiae","ERG25","ERGosterol biosynthesis"
"S000003297","YGR065C","S. cerevisiae","VHT1","Vitamin H Transporter"
"S000003305","YGR073C","S. cerevisiae","",""
"S000003306","YGR074W","S. cerevisiae","SMD1","snRNA Sm binding site protein D1"
"S000003307","YGR075C","S. cerevisiae","PRP38","Pre-mRNA Processing"
"S000003314","YGR082W","S. cerevisiae","TOM20","Translocase of the Outer Mitochondrial membrane"
"S000003315","YGR083C","S. cerevisiae","GCD2","General Control Derepressed"
"S000003322","YGR090W","S. cerevisiae","UTP22","U Three Protein"
"S000003323","YGR091W","S. cerevisiae","PRP31","Pre-mRNA Processing"
"S000003326","YGR094W","S. cerevisiae","VAS1","VAlyl-tRNA Synthetase"
"S000003327","YGR095C","S. cerevisiae","RRP46","Ribosomal RNA Processing"
"S000003330","YGR098C","S. cerevisiae","ESP1","Extra Spindle Pole bodies"
"S000003331","YGR099W","S. cerevisiae","TEL2","TELomere maintenance"
"S000003335","YGR103W","S. cerevisiae","NOP7","NucleOlar Protein"
"S000003345","YGR113W","S. cerevisiae","DAM1","Duo1 And Mps1 interacting"
"S000003346","YGR114C","S. cerevisiae","",""
"S000003347","YGR115C","S. cerevisiae","",""
"S000003348","YGR116W","S. cerevisiae","SPT6","SuPpressor of Ty's"
"S000003351","YGR119C","S. cerevisiae","NUP57","NUclear Pore"
"S000003352","YGR120C","S. cerevisiae","COG2","Conserved Oligomeric Golgi complex"
"S000003360","YGR128C","S. cerevisiae","UTP8","U Three Protein"
"S000003372","YGR140W","S. cerevisiae","CBF2","Centromere-Binding Factor"
"S000003377","YGR145W","S. cerevisiae","ENP2","Essential Nuclear Protein"
"S000003379","YGR147C","S. cerevisiae","NAT2","N-terminal AcetylTransferase"
"S000003387","YGR155W","S. cerevisiae","CYS4","CYStathionine beta-synthase"
"S000003388","YGR156W","S. cerevisiae","PTI1","PTa1p Interacting protein"
"S000003390","YGR158C","S. cerevisiae","MTR3","MRNA TRansport"
"S000003391","YGR159C","S. cerevisiae","NSR1",""
"S000003404","YGR172C","S. cerevisiae","YIP1","Ypt-Interacting Protein"
"S000003407","YGR175C","S. cerevisiae","ERG1","ERGosterol biosynthesis"
"S000003411","YGR179C","S. cerevisiae","OKP1","Outer Kinetochore Protein"
"S000003417","YGR185C","S. cerevisiae","TYS1","TYrosyl-tRNA Synthetase"
"S000003418","YGR186W","S. cerevisiae","TFG1","Transcription Factor G"
"S000003422","YGR190C","S. cerevisiae","",""
"S000003423","YGR191W","S. cerevisiae","HIP1","HIstidine Permease"
"S000003427","YGR195W","S. cerevisiae","SKI6","SuperKIller"
"S000003430","YGR198W","S. cerevisiae","YPP1","alpha-sYnuclein Protective Protein"
"S000003443","YGR211W","S. cerevisiae","ZPR1","Zinc finger PRotein"
"S000003448","YGR216C","S. cerevisiae","GPI1","GlycosylPhosphatidylInositol anchoring biosynthesis"
"S000003450","YGR218W","S. cerevisiae","CRM1","Chromosome Region Maintenance"
"S000003476","YGR244C","S. cerevisiae","LSC2","Ligase of Succinyl-CoA"
"S000003477","YGR245C","S. cerevisiae","SDA1","Severe Depolymerization of Actin"
"S000003478","YGR246C","S. cerevisiae","BRF1","B-Related Factor"
"S000003483","YGR251W","S. cerevisiae","NOP19","NucleOlar Protein"
"S000003485","YGR253C","S. cerevisiae","PUP2","PUtative Proteasome subunit"
"S000003496","YGR264C","S. cerevisiae","MES1","MEthionyl-tRNA Synthetase"
"S000003497","YGR265W","S. cerevisiae","",""
"S000003499","YGR267C","S. cerevisiae","FOL2","FOLic acid synthesis"
"S000003506","YGR274C","S. cerevisiae","TAF1","TATA binding protein-Associated Factor"
"S000003509","YGR277C","S. cerevisiae","CAB4","Coenzyme A Biosynthesis"
"S000003510","YGR278W","S. cerevisiae","CWC22","Complexed With Cef1p"
"S000003512","YGR280C","S. cerevisiae","PXR1","PinX1-Related gene"
"S000003526","YGR294W","S. cerevisiae","PAU12","seriPAUperin"
"S000003530","YHR005C-A","S. cerevisiae","TIM10","Translocase of the Inner Membrane"
"S000003538","YJL001W","S. cerevisiae","PRE3","PRoteinase yscE"
"S000003539","YJL002C","S. cerevisiae","OST1","OligoSaccharylTransferase"
"S000003542","YJL005W","S. cerevisiae","CYR1","CYclic AMP Requirement"
"S000003545","YJL008C","S. cerevisiae","CCT8","Chaperonin Containing TCP-1"
"S000003546","YJL009W","S. cerevisiae","",""
"S000003547","YJL010C","S. cerevisiae","NOP9","NucleOlar Protein"
"S000003548","YJL011C","S. cerevisiae","RPC17","RNA Polymerase C"
"S000003549","YJL012C","S. cerevisiae","VTC4","Vacuolar Transporter Chaperone"
"S000003551","YJL014W","S. cerevisiae","CCT3","Chaperonin Containing TCP-1"
"S000003552","YJL015C","S. cerevisiae","",""
"S000003556","YJL019W","S. cerevisiae","MPS3","MonoPolar Spindle"
"S000003562","YJL025W","S. cerevisiae","RRN7","Regulation of RNA polymerase I"
"S000003563","YJL026W","S. cerevisiae","RNR2","RiboNucleotide Reductase"
"S000003568","YJL031C","S. cerevisiae","BET4","Blocked Early in Transport"
"S000003569","YJL032W","S. cerevisiae","",""
"S000003570","YJL033W","S. cerevisiae","HCA4","Helicase CA"
"S000003571","YJL034W","S. cerevisiae","KAR2","KARyogamy"
"S000003572","YJL035C","S. cerevisiae","TAD2","tRNA-specific Adenosine Deaminase"
"S000003576","YJL039C","S. cerevisiae","NUP192","NUclear Pore"
"S000003577","YJL041W","S. cerevisiae","NSP1","NucleoSkeletal-like Protein"
"S000003586","YJL050W","S. cerevisiae","MTR4","Mrna TRansport"
"S000003590","YJL054W","S. cerevisiae","TIM54","Translocase of the Inner Mitochondrial membrane"
"S000003597","YJL061W","S. cerevisiae","NUP82","NUclear Pore"
"S000003605","YJL069C","S. cerevisiae","UTP18","U Three Protein"
"S000003608","YJL072C","S. cerevisiae","PSF2","Partner of Sld Five"
"S000003610","YJL074C","S. cerevisiae","SMC3","Stability of MiniChromosomes"
"S000003612","YJL076W","S. cerevisiae","NET1","Nucleolar silencing Establishing factor and Telophase regulator"
"S000003617","YJL081C","S. cerevisiae","ARP4","Actin-Related Protein"
"S000003621","YJL085W","S. cerevisiae","EXO70","EXOcyst"
"S000003622","YJL086C","S. cerevisiae","",""
"S000003623","YJL087C","S. cerevisiae","TRL1","tRNA Ligase"
"S000003626","YJL090C","S. cerevisiae","DPB11","DNA Polymerase B (II)"
"S000003627","YJL091C","S. cerevisiae","GWT1","GPI-anchored Wall protein Transfer"
"S000003633","YJL097W","S. cerevisiae","PHS1","PTPLA Homolog involved in Sphingolipid biosynthesis 1"
"S000003640","YJL104W","S. cerevisiae","PAM16","Presequence translocase-Associated Motor"
"S000003645","YJL109C","S. cerevisiae","UTP10","U Three Protein"
"S000003647","YJL111W","S. cerevisiae","CCT7","Chaperonin Containing TCP-1"
"S000003659","YJL123C","S. cerevisiae","MTC1","Maintenance of Telomere Capping"
"S000003661","YJL125C","S. cerevisiae","GCD14","General Control Nonderepressible"
"S000003679","YJL143W","S. cerevisiae","TIM17","Translocase of the Inner Mitochondrial membrane"
"S000003692","YJL156C","S. cerevisiae","SSY5","Sulfonylurea Sensitive on YPD"
"S000003693","YJL157C","S. cerevisiae","FAR1","Factor ARrest"
"S000003700","YJL164C","S. cerevisiae","TPK1","Takashi's Protein Kinase"
"S000003703","YJL167W","S. cerevisiae","ERG20","ERGosterol biosynthesis"
"S000003709","YJL173C","S. cerevisiae","RFA3","Replication Factor A"
